age,income_per_month,monthly_expenses,risk_tolerance,financial_goal,goal_horizon_years,investment_experience,equity_percent,debt_percent,gold_percent,real_estate_percent
34,287554,169641,Low,House,13,Beginner,19.27,56.95,9.91,13.86
28,245683,176995,Low,Education,1,Beginner,11.59,79.78,8.63,0.0
29,156535,117408,Medium,Retirement,9,Beginner,58.47,31.78,9.75,0.0
59,90028,49215,High,Education,11,Intermediate,76.53,11.17,12.3,0.0
21,28210,20058,Low,Retirement,8,Beginner,24.61,67.0,8.38,0.0
53,277324,217590,High,Education,5,Expert,76.66,17.15,6.2,0.0
43,154832,68639,Low,Education,20,Beginner,25.41,53.56,10.15,10.88
38,249010,109245,Medium,Education,28,Beginner,52.16,31.81,8.39,7.64
59,161130,122976,Medium,Wealth Creation,18,Intermediate,62.82,26.81,10.37,0.0
23,276453,142993,High,Retirement,21,Beginner,80.96,4.78,8.57,5.69
37,269768,175405,Medium,Education,3,Intermediate,53.37,23.63,7.62,15.37
51,256440,149914,Medium,House,24,Expert,52.41,29.84,9.4,8.35
55,251496,112236,Medium,House,6,Beginner,52.17,27.06,8.41,12.37
48,203467,100798,Low,Education,9,Beginner,18.4,63.02,8.84,9.74
56,148379,90247,Medium,House,2,Intermediate,44.93,46.61,8.46,0.0
21,244448,157860,Low,Wealth Creation,20,Beginner,19.56,63.99,10.48,5.97
51,198570,70691,Low,Education,6,Beginner,21.97,58.66,8.91,10.45
58,115040,51950,Low,House,4,Beginner,14.2,78.83,6.97,0.0
44,244834,194356,High,House,13,Intermediate,86.78,5.46,7.77,0.0
47,228434,94947,Low,Retirement,6,Beginner,21.14,58.61,6.38,13.87
57,224923,75512,Low,Wealth Creation,3,Beginner,21.33,56.75,8.35,13.57
33,251312,134893,Low,Retirement,16,Beginner,22.39,59.03,8.85,9.73
42,156570,123089,Low,Education,19,Beginner,19.33,68.59,12.08,0.0
41,195021,140808,Medium,Education,12,Expert,53.54,35.88,10.59,0.0
21,119931,66633,Medium,Retirement,24,Beginner,67.49,21.18,11.33,0.0
56,214994,103918,High,Wealth Creation,17,Intermediate,74.43,7.27,7.33,10.97
39,97988,78376,High,House,8,Beginner,76.82,14.17,9.01,0.0
39,226846,107028,Medium,House,27,Intermediate,54.07,26.19,8.17,11.57
41,64789,42358,Medium,Education,7,Beginner,50.14,42.34,7.53,0.0
32,33893,11049,Low,House,19,Expert,25.3,60.69,14.01,0.0
26,92805,55905,High,Wealth Creation,24,Intermediate,76.99,12.02,10.99,0.0
37,206292,131225,Medium,Education,18,Expert,50.9,27.3,9.43,12.37
55,170575,99628,High,Education,8,Intermediate,70.25,9.92,7.9,11.92
39,60510,34318,High,Wealth Creation,3,Beginner,78.06,13.36,8.58,0.0
51,110102,84949,Medium,House,18,Intermediate,57.07,31.82,11.12,0.0
30,173385,78958,Medium,House,21,Intermediate,51.96,32.52,8.4,7.12
50,97842,39855,Medium,House,26,Beginner,67.2,25.17,7.64,0.0
21,183864,64923,Low,Education,1,Intermediate,9.01,64.28,11.29,15.42
29,31390,17865,Low,Wealth Creation,4,Expert,25.76,65.45,8.79,0.0
54,74189,30861,Medium,House,6,Intermediate,54.09,36.34,9.57,0.0
33,261324,88604,Low,Retirement,2,Beginner,8.27,66.97,10.94,13.83
37,79766,36378,Medium,Wealth Creation,10,Beginner,54.6,36.0,9.41,0.0
46,197164,122820,Medium,Retirement,15,Intermediate,49.08,33.84,9.09,8.0
47,253077,177007,Medium,Wealth Creation,7,Beginner,51.04,25.27,8.45,15.24
41,142258,103879,Medium,Education,25,Beginner,65.5,23.07,11.43,0.0
52,58333,41124,Medium,House,10,Intermediate,57.75,31.82,10.42,0.0
34,182993,71134,High,Retirement,20,Intermediate,76.19,8.2,9.57,6.04
43,222193,141420,Medium,Education,23,Beginner,45.36,32.35,10.62,11.67
32,74238,45816,High,Education,29,Beginner,79.45,9.01,11.54,0.0
43,82551,38852,Low,Retirement,9,Expert,16.91,77.03,6.06,0.0
48,254104,95239,Medium,Retirement,11,Intermediate,47.76,31.72,8.19,12.33
35,111218,35589,Medium,Education,6,Expert,51.53,42.57,5.9,0.0
43,190201,119428,Low,House,28,Beginner,23.1,62.14,7.57,7.19
41,118538,50933,Medium,Retirement,5,Intermediate,56.88,33.77,9.35,0.0
45,222440,145088,Medium,Wealth Creation,20,Intermediate,57.39,27.75,6.79,8.07
59,170043,76611,High,Wealth Creation,9,Beginner,73.01,6.53,8.01,12.45
27,22257,17657,Medium,House,13,Expert,57.17,33.3,9.53,0.0
58,138581,76347,Medium,Wealth Creation,1,Intermediate,47.21,46.54,6.25,0.0
29,38135,26049,Medium,House,3,Beginner,53.74,38.17,8.09,0.0
21,80948,57286,Low,Retirement,3,Expert,20.97,69.69,9.34,0.0
30,213069,92092,Medium,Retirement,5,Beginner,49.33,31.15,7.24,12.28
55,202885,161233,Medium,Retirement,12,Beginner,67.49,21.49,11.02,0.0
56,152473,60934,High,Education,6,Expert,75.99,11.2,6.0,6.82
48,284889,140709,Low,Wealth Creation,27,Beginner,24.26,54.91,10.55,10.27
57,49336,23024,Low,Education,23,Beginner,24.53,64.35,11.12,0.0
36,206740,82985,Low,House,13,Intermediate,24.97,55.57,6.56,12.9
53,48151,28212,Low,Retirement,13,Beginner,23.31,66.96,9.73,0.0
49,112769,55559,Low,House,28,Beginner,25.0,61.23,13.77,0.0
24,132217,61272,Low,Retirement,9,Beginner,16.48,73.51,10.01,0.0
31,81215,40980,Medium,Retirement,17,Intermediate,62.62,27.53,9.85,0.0
46,133688,86579,Medium,Wealth Creation,27,Expert,64.15,23.35,12.5,0.0
24,289150,160963,High,Retirement,1,Expert,57.77,23.69,7.41,11.13
51,270541,117243,Medium,Education,26,Intermediate,55.57,21.34,11.94,11.15
53,227793,95382,High,Retirement,27,Intermediate,71.22,7.49,9.48,11.8
26,215877,109368,Medium,Retirement,22,Expert,57.26,26.25,7.45,9.04
23,63527,30749,High,House,13,Expert,72.31,15.83,11.86,0.0
33,67153,34124,High,Retirement,12,Beginner,83.04,6.42,10.54,0.0
46,25451,12893,Low,Education,5,Beginner,19.76,73.84,6.4,0.0
38,148389,103143,Medium,Wealth Creation,12,Beginner,57.15,31.95,10.9,0.0
36,75745,28089,Medium,Retirement,8,Beginner,53.14,36.3,10.56,0.0
50,113783,56491,Medium,Retirement,29,Beginner,68.52,22.7,8.78,0.0
57,159227,116887,Low,Retirement,28,Beginner,18.63,71.14,10.23,0.0
22,171094,94791,Medium,Education,16,Beginner,51.93,28.97,8.05,11.05
33,88323,50312,Low,House,22,Beginner,19.28,67.58,13.14,0.0
52,127096,65356,Low,House,7,Intermediate,18.95,70.38,10.67,0.0
55,23696,18730,High,House,27,Intermediate,75.73,12.59,11.68,0.0
49,268922,147317,Medium,Wealth Creation,4,Beginner,47.8,31.94,7.88,12.38
43,138474,50798,Medium,Wealth Creation,9,Beginner,49.84,43.75,6.42,0.0
49,207647,65165,High,Wealth Creation,19,Beginner,75.3,8.29,10.42,5.99
27,240462,115136,Medium,Education,7,Beginner,53.2,26.19,8.24,12.37
40,277927,176708,Medium,Retirement,16,Beginner,64.37,22.27,7.54,5.83
35,198048,139992,Low,House,15,Intermediate,26.19,64.51,9.3,0.0
54,39991,22772,High,Wealth Creation,10,Intermediate,78.7,12.3,9.0,0.0
43,274205,119305,High,Wealth Creation,9,Beginner,72.7,12.58,8.51,6.2
30,239526,184087,Medium,Retirement,6,Intermediate,51.3,36.69,12.01,0.0
42,228859,180092,Medium,Retirement,6,Beginner,57.8,34.71,7.49,0.0
33,113526,85058,Medium,Retirement,18,Beginner,60.85,31.26,7.89,0.0
34,237583,173028,Low,Retirement,15,Intermediate,24.85,64.13,11.01,0.0
41,284852,103830,High,Retirement,17,Beginner,75.39,9.53,10.16,4.91
54,98077,38135,High,Retirement,17,Beginner,87.34,4.79,7.87,0.0
24,239571,150829,Medium,House,25,Beginner,47.85,28.68,11.13,12.34
56,53872,26889,Medium,Education,24,Beginner,62.31,27.87,9.83,0.0
26,85942,39471,Low,Retirement,7,Intermediate,26.84,67.09,6.08,0.0
49,41644,16850,Medium,House,20,Expert,59.87,30.53,9.6,0.0
32,169359,50981,Medium,Retirement,13,Intermediate,60.42,25.1,8.3,6.18
52,149887,78885,High,Retirement,4,Intermediate,83.3,6.16,10.54,0.0
34,201517,130760,Medium,House,29,Beginner,48.18,29.3,9.92,12.59
53,161650,67119,Low,Wealth Creation,5,Beginner,19.43,62.9,5.51,12.16
55,203887,66152,Low,House,11,Intermediate,28.22,53.41,9.55,8.82
42,237400,157208,Medium,Education,8,Beginner,45.61,32.93,7.96,13.5
39,293586,134364,Medium,House,20,Beginner,61.68,19.85,10.22,8.26
31,112036,65636,Medium,Wealth Creation,12,Expert,62.45,26.0,11.55,0.0
34,174692,53294,High,Retirement,27,Intermediate,75.26,5.34,8.22,11.17
22,104526,39203,High,Wealth Creation,4,Beginner,76.89,15.24,7.87,0.0
43,95277,51325,Low,Wealth Creation,19,Intermediate,26.12,60.85,13.03,0.0
44,71913,50813,Medium,Wealth Creation,8,Expert,53.27,39.13,7.6,0.0
26,257113,172689,Medium,Retirement,28,Expert,50.89,30.1,10.13,8.88
47,238800,99870,Low,House,27,Beginner,21.57,55.81,11.0,11.62
44,96361,51601,Low,Retirement,22,Intermediate,17.38,72.4,10.21,0.0
58,232954,138022,Medium,Education,22,Beginner,57.28,25.35,7.2,10.17
54,264629,207521,Medium,Retirement,15,Beginner,60.73,28.12,11.16,0.0
26,196872,96024,Medium,Retirement,27,Intermediate,52.66,30.95,10.81,5.58
30,166510,98395,Low,House,22,Expert,28.27,48.14,11.59,12.0
50,269880,136240,Medium,Wealth Creation,28,Expert,55.13,23.79,11.14,9.94
39,284064,191340,Medium,Education,4,Beginner,53.08,31.49,8.47,6.96
58,102289,81656,Medium,Education,22,Intermediate,55.26,36.72,8.01,0.0
45,282043,153824,Low,Retirement,27,Expert,25.72,50.64,11.15,12.48
40,214028,158071,Medium,House,7,Beginner,48.75,41.62,9.64,0.0
53,239128,93607,Medium,Retirement,5,Beginner,43.37,39.9,7.07,9.65
53,106346,33454,High,Retirement,18,Beginner,79.6,8.99,11.41,0.0
39,297068,202263,Medium,Retirement,14,Beginner,51.14,26.42,8.02,14.42
28,102409,53970,Medium,Education,9,Beginner,50.84,41.47,7.68,0.0
48,163927,69203,High,Retirement,11,Beginner,70.61,13.01,7.84,8.54
57,242542,119957,Medium,Retirement,18,Intermediate,62.24,23.3,9.23,5.23
24,117493,64174,Medium,House,7,Beginner,51.03,37.01,11.96,0.0
35,158368,72908,Medium,Education,3,Beginner,51.16,35.14,6.69,7.0
49,266404,180257,Low,Education,10,Expert,21.37,57.49,9.39,11.74
39,270819,93601,Low,Education,1,Expert,11.56,68.22,8.54,11.68
41,146270,70370,Medium,House,20,Beginner,60.66,31.58,7.76,0.0
52,82061,63507,Medium,Wealth Creation,17,Expert,54.34,34.44,11.22,0.0
41,151208,62775,High,Education,19,Beginner,73.86,7.58,7.91,10.65
43,96240,67859,Low,House,23,Intermediate,23.83,67.13,9.04,0.0
29,283844,178935,High,Wealth Creation,13,Beginner,75.45,8.37,8.16,8.03
41,143364,84614,High,Retirement,12,Beginner,85.46,6.89,7.65,0.0
37,90269,58034,Low,House,10,Beginner,27.06,61.09,11.85,0.0
56,49345,28348,Low,Education,28,Beginner,22.3,66.35,11.36,0.0
39,23453,11542,Medium,Retirement,24,Beginner,60.8,29.6,9.59,0.0
53,69170,35416,Low,Education,8,Beginner,25.2,65.59,9.21,0.0
33,207125,64057,Low,Education,2,Beginner,7.13,74.7,8.36,9.81
49,57158,36218,Medium,Retirement,24,Beginner,65.88,24.15,9.97,0.0
23,181081,54516,Medium,Wealth Creation,17,Beginner,52.07,30.3,9.4,8.23
49,56468,27595,Medium,House,26,Beginner,63.25,23.2,13.55,0.0
21,128117,53106,Low,Wealth Creation,9,Expert,20.84,68.36,10.8,0.0
34,293820,223652,Medium,Retirement,19,Beginner,59.24,31.96,8.8,0.0
50,43185,23629,Medium,Retirement,16,Beginner,63.31,24.44,12.25,0.0
56,138094,66735,Medium,Education,20,Beginner,67.38,22.36,10.27,0.0
35,196348,92306,High,Wealth Creation,10,Intermediate,73.48,8.54,9.0,8.98
24,42010,15493,Low,House,26,Beginner,19.19,70.63,10.18,0.0
22,291421,135434,High,House,28,Beginner,81.96,5.55,7.22,5.27
56,172711,116525,High,House,26,Expert,72.27,9.98,7.57,10.18
37,83972,49446,Medium,House,12,Beginner,67.51,23.56,8.92,0.0
48,54693,19379,Medium,Wealth Creation,26,Intermediate,60.57,29.97,9.45,0.0
46,217097,109645,Medium,House,21,Expert,57.76,20.76,9.35,12.13
36,36999,17043,Medium,Wealth Creation,8,Beginner,52.75,37.77,9.48,0.0
30,130986,75341,Medium,Retirement,16,Beginner,53.67,35.86,10.47,0.0
46,27485,21925,Medium,Retirement,6,Expert,54.99,35.53,9.49,0.0
21,182781,102622,Medium,Wealth Creation,28,Beginner,53.81,22.85,10.2,13.14
30,265172,122946,High,Retirement,23,Beginner,70.77,11.49,8.26,9.48
53,110880,37012,Low,Retirement,22,Beginner,14.34,75.47,10.2,0.0
25,170331,87058,Low,Wealth Creation,14,Intermediate,22.41,51.75,11.7,14.14
49,98278,41874,Low,Education,13,Beginner,26.45,64.69,8.86,0.0
58,95403,69878,High,Retirement,29,Intermediate,76.73,13.42,9.85,0.0
47,197826,87649,Medium,House,16,Beginner,59.53,22.83,7.98,9.66
31,134589,54710,High,Retirement,28,Beginner,85.38,7.59,7.03,0.0
34,187679,139481,Medium,Education,26,Beginner,58.16,30.16,11.68,0.0
30,96312,61728,Medium,Retirement,29,Expert,58.27,31.31,10.42,0.0
45,133711,51207,High,Education,24,Expert,80.28,9.57,10.15,0.0
25,130130,61203,High,Retirement,12,Beginner,76.41,14.96,8.63,0.0
58,99768,55543,Medium,Retirement,11,Intermediate,60.82,30.92,8.26,0.0
38,198646,150644,Medium,House,5,Intermediate,49.0,39.22,11.77,0.0
30,20917,16341,High,Retirement,1,Expert,71.88,20.33,7.79,0.0
32,81169,47820,Medium,Education,17,Beginner,68.92,23.25,7.83,0.0
53,223834,170616,Low,Education,15,Beginner,25.84,61.87,12.29,0.0
23,208505,67764,Medium,Wealth Creation,13,Expert,48.21,28.8,8.53,14.46
46,276875,105501,Medium,Education,11,Expert,57.38,23.6,11.59,7.43
40,45517,26772,Low,Retirement,11,Intermediate,16.76,70.02,13.22,0.0
47,125686,60320,Low,Retirement,9,Beginner,29.35,59.5,11.15,0.0
51,207655,96294,Medium,Education,21,Beginner,49.59,26.27,8.02,16.12
37,55903,23723,Medium,House,29,Beginner,58.68,31.91,9.41,0.0
54,220753,98326,High,Wealth Creation,24,Intermediate,71.61,6.57,7.51,14.31
28,205639,98790,High,Education,24,Beginner,75.25,7.33,10.2,7.23
30,273347,98355,Low,Education,4,Intermediate,14.07,70.78,6.13,9.01
44,97694,45043,Low,House,23,Intermediate,15.2,72.13,12.68,0.0
52,292836,133391,Low,Education,10,Expert,19.91,59.87,11.46,8.76
43,272084,202640,Medium,Retirement,2,Beginner,42.89,47.3,9.81,0.0
32,93616,49986,Medium,Wealth Creation,10,Expert,52.45,34.86,12.69,0.0
37,121407,71630,Medium,Wealth Creation,8,Expert,60.21,30.34,9.45,0.0
36,231144,135325,Low,Retirement,12,Beginner,18.7,59.22,8.68,13.4
38,293295,132727,High,Wealth Creation,27,Beginner,75.47,5.3,6.82,12.41
57,91045,65155,High,Education,13,Beginner,79.79,10.52,9.68,0.0
24,108059,50375,Medium,Education,8,Expert,54.92,38.47,6.61,0.0
58,101972,40540,High,Retirement,3,Intermediate,80.44,8.98,10.58,0.0
42,235286,78848,Medium,House,25,Intermediate,55.98,20.6,10.68,12.73
32,115408,43640,Medium,Wealth Creation,29,Expert,66.12,22.74,11.14,0.0
51,254196,152795,Medium,Wealth Creation,20,Intermediate,53.25,24.47,7.54,14.75
40,112876,34198,Low,House,22,Beginner,19.63,70.17,10.21,0.0
44,219737,169672,High,Education,18,Beginner,77.18,14.42,8.4,0.0
46,217742,141796,Medium,Education,13,Expert,55.38,26.92,11.02,6.68
22,227605,167306,Medium,House,17,Intermediate,57.64,33.75,8.6,0.0
50,252204,171063,Low,House,21,Beginner,27.14,52.72,11.77,8.36
35,255998,155187,Low,Retirement,23,Intermediate,22.02,51.61,11.63,14.74
21,295553,125304,Medium,Wealth Creation,15,Beginner,51.84,30.51,11.06,6.59
47,166621,79949,Medium,Retirement,1,Expert,46.32,33.45,6.69,13.54
51,276505,190179,Medium,Education,21,Beginner,53.37,32.83,8.45,5.35
57,176140,118569,High,House,19,Intermediate,72.44,13.06,7.13,7.37
41,111198,78518,Medium,House,19,Expert,59.79,29.63,10.58,0.0
58,21051,16080,High,Wealth Creation,23,Beginner,80.83,10.82,8.35,0.0
56,246572,74278,High,House,26,Intermediate,69.08,11.11,8.01,11.8
55,206093,151786,Medium,Wealth Creation,24,Intermediate,63.11,26.66,10.24,0.0
53,276446,96188,Medium,Education,24,Intermediate,52.12,34.67,7.3,5.92
36,233175,73310,Medium,Education,24,Intermediate,53.63,27.15,12.04,7.18
44,75805,54090,Medium,Education,10,Beginner,58.44,33.15,8.41,0.0
39,290146,156826,Medium,House,5,Beginner,42.44,38.96,8.95,9.66
46,288449,105316,Medium,Wealth Creation,18,Expert,53.74,28.99,7.23,10.05
21,269432,85594,High,House,3,Beginner,72.83,11.61,9.28,6.28
53,124188,65046,Low,Education,26,Expert,19.73,68.93,11.34,0.0
41,45464,29899,High,House,6,Beginner,81.52,9.97,8.51,0.0
24,176177,131337,High,Retirement,28,Intermediate,80.44,10.25,9.31,0.0
30,73592,29424,Medium,House,17,Expert,57.79,28.47,13.75,0.0
57,263767,100052,Medium,Wealth Creation,13,Beginner,55.08,21.38,11.12,12.43
50,288042,104807,High,House,12,Expert,74.97,6.94,10.0,8.09
48,220569,160983,Low,Retirement,9,Beginner,12.73,79.74,7.53,0.0
54,262934,200568,High,Retirement,12,Expert,81.06,7.27,11.67,0.0
21,236896,100500,High,House,10,Expert,65.38,15.72,10.06,8.85
36,67111,40275,Low,Wealth Creation,17,Beginner,22.61,67.17,10.22,0.0
37,270351,147230,Low,Wealth Creation,13,Beginner,25.95,51.11,9.29,13.65
47,69420,30794,Low,Wealth Creation,21,Intermediate,20.51,64.65,14.84,0.0
43,64036,36579,Low,House,20,Beginner,18.44,69.24,12.31,0.0
24,256304,82259,Medium,Wealth Creation,14,Intermediate,60.8,21.4,7.96,9.83
55,109424,84445,Low,Education,19,Beginner,17.69,68.35,13.97,0.0
44,82780,47742,Medium,Retirement,17,Intermediate,58.88,32.61,8.51,0.0
56,212453,111664,Low,Retirement,14,Intermediate,18.67,58.57,10.11,12.65
36,155899,109422,Low,Wealth Creation,4,Beginner,20.6,67.51,11.89,0.0
51,131362,68215,High,Wealth Creation,24,Beginner,84.82,7.35,7.83,0.0
22,206950,98428,High,Wealth Creation,12,Intermediate,73.97,10.55,8.19,7.29
30,47877,19679,High,Wealth Creation,21,Beginner,76.04,13.51,10.45,0.0
43,208868,73249,Medium,Education,6,Intermediate,57.81,24.3,5.44,12.45
26,255113,96134,Medium,House,15,Expert,54.01,26.94,8.44,10.61
23,154794,116880,Medium,House,17,Beginner,64.96,26.1,8.94,0.0
39,79807,56189,Medium,Wealth Creation,6,Beginner,62.28,28.9,8.82,0.0
31,266732,134805,Medium,Retirement,9,Beginner,52.12,33.22,8.45,6.21
29,152886,96123,Low,Education,29,Beginner,17.45,60.08,11.57,10.9
48,54785,40234,Medium,House,16,Beginner,55.56,33.45,10.98,0.0
50,130966,46071,Medium,Education,9,Beginner,57.88,32.7,9.42,0.0
30,226946,106429,Medium,House,11,Beginner,54.86,30.9,7.51,6.74
22,198296,105353,Medium,Education,18,Beginner,54.6,22.64,11.95,10.81
46,99211,34349,Medium,Education,15,Beginner,55.67,34.4,9.93,0.0
24,215558,70544,Low,Retirement,2,Beginner,8.07,70.46,8.26,13.2
32,48202,14476,Low,Education,29,Beginner,22.14,67.72,10.14,0.0
46,123119,88938,Low,Retirement,28,Expert,15.46,73.52,11.02,0.0
43,135657,107327,Low,Wealth Creation,13,Beginner,26.79,61.97,11.24,0.0
35,196355,140232,Medium,Retirement,14,Beginner,65.23,25.43,9.34,0.0
57,144954,67348,Medium,Education,20,Intermediate,58.39,32.52,9.1,0.0
22,55733,21038,Medium,Education,16,Expert,52.73,36.31,10.96,0.0
39,106486,74986,Medium,Wealth Creation,13,Beginner,52.74,37.95,9.31,0.0
56,196968,116152,Medium,Retirement,19,Beginner,53.58,22.55,10.47,13.39
29,234303,111637,Medium,Wealth Creation,18,Intermediate,56.8,22.42,11.51,9.27
24,80380,54611,Low,House,13,Beginner,31.42,54.87,13.71,0.0
39,227288,78254,Low,House,29,Beginner,20.61,60.06,10.38,8.95
30,118064,74170,Medium,Education,16,Intermediate,67.85,21.48,10.67,0.0
44,153248,79628,Medium,Retirement,21,Intermediate,63.74,19.07,11.56,5.63
53,212458,147028,Medium,Retirement,1,Expert,38.56,40.69,9.3,11.45
24,275083,192387,Medium,Wealth Creation,18,Beginner,52.31,29.56,7.67,10.46
22,180399,68328,High,Education,28,Intermediate,76.07,10.21,8.21,5.51
30,262471,199285,Medium,Wealth Creation,13,Beginner,60.64,30.81,8.55,0.0
36,250636,115659,High,Retirement,25,Beginner,78.85,4.47,9.33,7.36
46,130168,87499,Low,Retirement,12,Beginner,21.42,69.39,9.19,0.0
52,220417,88316,Low,Retirement,20,Beginner,18.86,58.66,10.31,12.17
47,46270,19078,Medium,House,2,Beginner,36.72,53.2,10.09,0.0
59,167735,69373,High,Wealth Creation,14,Beginner,74.47,5.15,9.1,11.28
42,156645,54182,Low,Retirement,14,Beginner,22.82,59.93,9.55,7.7
56,27697,16695,Low,Retirement,23,Intermediate,15.97,72.31,11.72,0.0
24,96436,34511,Low,House,7,Beginner,12.58,79.3,8.13,0.0
43,277165,162707,Low,Education,14,Beginner,15.51,54.77,13.09,16.64
54,126244,80989,Medium,Retirement,27,Beginner,55.71,32.81,11.49,0.0
35,151936,85802,Medium,House,3,Intermediate,53.75,28.61,5.78,11.86
33,264936,128404,Low,Retirement,6,Beginner,21.52,55.95,8.08,14.44
47,298104,120222,Medium,Wealth Creation,23,Intermediate,56.98,21.39,7.73,13.89
44,286186,134907,Low,Retirement,22,Beginner,22.82,56.49,8.9,11.78
21,114913,63045,Medium,Retirement,20,Beginner,65.31,26.2,8.48,0.0
23,148674,50196,High,Wealth Creation,12,Intermediate,77.82,12.52,9.66,0.0
24,167698,57439,Medium,House,13,Beginner,55.5,27.34,9.83,7.33
42,284179,195020,Medium,Education,10,Expert,54.63,27.76,9.19,8.42
29,214999,150725,Low,Education,16,Intermediate,16.33,71.2,12.46,0.0
34,66121,35718,Medium,House,6,Intermediate,60.88,30.68,8.44,0.0
58,21466,10396,High,House,15,Beginner,77.96,12.89,9.15,0.0
45,284037,115784,Low,House,12,Beginner,18.08,65.61,7.59,8.72
33,225400,125344,Medium,Education,22,Expert,45.85,32.03,9.18,12.95
27,227370,98344,Medium,Retirement,9,Intermediate,50.0,24.89,8.8,16.32
46,127573,70555,High,House,19,Beginner,83.9,7.73,8.37,0.0
48,80354,37113,High,Wealth Creation,14,Beginner,81.93,10.24,7.83,0.0
45,152018,60298,Medium,Wealth Creation,10,Expert,50.82,31.43,9.03,8.72
43,206584,118784,Low,Education,7,Beginner,18.91,66.21,5.52,9.37
27,31569,22499,Medium,House,27,Expert,63.76,25.14,11.1,0.0
54,21539,15565,High,House,4,Beginner,83.53,7.1,9.37,0.0
50,117799,63751,Low,Retirement,24,Expert,28.08,63.36,8.56,0.0
47,275821,131531,Medium,Education,28,Intermediate,57.29,23.34,8.8,10.58
24,106436,45770,High,Wealth Creation,7,Beginner,77.55,15.11,7.34,0.0
24,158442,119479,Medium,House,4,Intermediate,61.23,28.09,10.67,0.0
21,69593,30950,Medium,Retirement,23,Intermediate,59.3,29.09,11.61,0.0
44,137333,65793,Medium,House,5,Beginner,51.87,42.72,5.41,0.0
53,177195,60955,Medium,House,27,Intermediate,51.74,33.87,7.09,7.3
35,131361,61603,Medium,House,7,Intermediate,62.08,27.5,10.43,0.0
38,177419,102281,Medium,House,12,Intermediate,45.13,32.82,11.15,10.9
54,168929,70305,Low,Education,6,Beginner,19.21,66.6,5.74,8.45
51,143099,85543,Medium,Wealth Creation,17,Beginner,66.4,25.03,8.57,0.0
43,116452,56992,High,Retirement,21,Intermediate,82.27,7.49,10.24,0.0
35,283068,136242,Low,Retirement,15,Expert,14.69,64.19,9.04,12.08
32,117628,46698,Low,House,3,Expert,17.84,75.67,6.49,0.0
24,62674,48070,Low,House,3,Beginner,13.77,76.49,9.74,0.0
29,73051,28392,Low,Wealth Creation,13,Beginner,15.1,72.14,12.77,0.0
54,251189,119795,Low,Retirement,17,Intermediate,23.38,49.47,12.66,14.49
45,184145,81542,Low,Education,26,Intermediate,24.94,60.8,8.32,5.94
26,133604,66107,Low,Retirement,25,Intermediate,17.8,69.17,13.03,0.0
38,133978,68284,Medium,Wealth Creation,25,Intermediate,56.52,29.95,13.54,0.0
29,182023,135469,Medium,Retirement,20,Expert,65.16,21.13,13.71,0.0
23,145849,75984,Low,Wealth Creation,13,Beginner,21.44,67.21,11.35,0.0
38,258657,163558,Medium,House,23,Expert,51.22,26.43,12.02,10.33
31,41650,21685,Medium,Education,21,Beginner,56.26,33.6,10.14,0.0
44,194312,104053,Medium,Retirement,19,Intermediate,58.33,28.09,6.86,6.72
32,171990,79976,Medium,Wealth Creation,28,Intermediate,60.05,24.68,9.6,5.68
57,165817,55475,High,Education,2,Expert,62.59,14.99,9.6,12.82
42,196111,79756,Low,Wealth Creation,13,Beginner,15.24,55.27,13.56,15.93
41,138248,51778,Low,Retirement,6,Beginner,17.8,73.59,8.61,0.0
43,152447,67826,Medium,Retirement,11,Beginner,56.59,24.51,11.25,7.65
47,123889,40325,Medium,Retirement,19,Beginner,66.07,23.98,9.95,0.0
40,252069,183486,Medium,Education,9,Intermediate,61.6,31.7,6.71,0.0
33,34678,24839,Medium,Wealth Creation,22,Beginner,58.12,31.44,10.45,0.0
45,120485,80507,High,Wealth Creation,25,Beginner,84.29,6.29,9.43,0.0
22,262434,123931,High,Wealth Creation,17,Beginner,75.43,5.88,7.85,10.84
45,81360,29011,High,Education,11,Intermediate,81.71,8.48,9.81,0.0
43,47464,24095,Medium,Retirement,10,Expert,56.65,32.96,10.38,0.0
38,101441,55352,Low,Wealth Creation,29,Beginner,24.84,66.4,8.76,0.0
59,231230,135906,High,House,10,Beginner,74.62,8.13,8.33,8.91
29,20515,7345,Low,Wealth Creation,9,Beginner,19.04,72.72,8.24,0.0
35,157080,55111,High,Wealth Creation,5,Beginner,68.84,12.5,7.72,10.94
33,125219,42598,Medium,Education,13,Expert,63.39,24.54,12.07,0.0
29,262653,194623,High,Education,11,Beginner,81.22,6.77,12.01,0.0
33,36932,25722,Medium,House,7,Beginner,57.45,35.04,7.51,0.0
59,195309,124089,Low,Education,19,Beginner,28.66,53.39,8.68,9.27
37,285228,181433,Medium,House,7,Expert,52.39,34.36,6.8,6.44
31,166259,75668,Low,House,5,Beginner,15.88,68.42,7.47,8.23
36,88968,61829,High,Wealth Creation,15,Expert,75.97,14.33,9.69,0.0
39,265277,110769,Medium,Education,17,Beginner,52.06,30.69,8.66,8.59
48,239730,73496,Medium,House,17,Expert,46.88,30.97,10.45,11.71
45,85431,42926,Low,House,23,Beginner,30.12,61.15,8.73,0.0
44,195486,139655,High,Retirement,2,Expert,77.53,14.08,8.4,0.0
46,135375,61657,Medium,Wealth Creation,24,Expert,51.49,36.62,11.89,0.0
